Symbol, Open, High, Low, Close, Net Change, Net Change %
DDD, 11.29, 11.30, 11.03, 11.25, 0.01, 0.09
MMM, 208.40, 208.66, 206.79, 208.08, 0.70, 0.34
EGHT, 20.35, 20.41, 20.01, 20.19, -0.21, -1.03
WUBA, 61.00, 62.41, 60.88, 61.76, 1.08, 1.78
WBAI, 14.59, 14.95, 14.28, 14.28, -0.13, -0.90
ATEN, 7.10, 7.24, 7.09, 7.21, 0.14, 1.98
AAC, 2.64, 2.68, 2.37, 2.49, -0.15, -5.68
AIR, 34.45, 34.55, 33.91, 34.19, -0.03, -0.09
AAN, 53.45, 53.87, 51.64, 51.67, -1.59, -2.99
ABB, 19.28, 19.33, 19.18, 19.27, 0.09, 0.47
ABT, 79.03, 80.15, 78.92, 79.86, 0.88, 1.11
ABBV, 80.06, 81.46, 79.11, 81.34, 1.39, 1.74
ANF, 26.44, 26.67, 26.05, 26.39, -0.06, -0.23
ABM, 33.94, 34.66, 33.74, 34.42, 0.51, 1.50
AKR, 27.99, 28.00, 27.36, 27.46, -0.47, -1.68
ACN, 165.00, 167.04, 164.90, 166.39, 1.57, 0.95
ACCO, 8.81, 9.03, 8.81, 8.90, 0.10, 1.14
ATV, 27.85, 28.54, 27.85, 28.54, 0.13, 0.46
ATU, 24.35, 25.16, 24.35, 24.79, 0.49, 2.02
AYI, 131.67, 132.54, 130.48, 130.75, -0.64, -0.49
GOLF, 24.22, 24.50, 23.66, 23.75, -0.28, -1.17
AGRO, 6.45, 7.03, 6.39, 6.96, 0.33, 4.98
ADNT, 14.04, 14.25, 13.88, 13.97, 0.02, 0.14
ADT, 6.18, 6.56, 6.16, 6.47, 0.29, 4.69
ATGE, 48.46, 49.56, 48.46, 48.84, 0.52, 1.08
AAP, 153.64, 154.99, 151.04, 154.84, 0.84, 0.55
ADSW, 26.95, 27.02, 26.70, 26.91, 0.03, 0.11
WMS, 25.60, 25.90, 25.42, 25.57, 0.13, 0.51
ASIX, 30.34, 30.95, 30.04, 30.15, -0.31, -1.02
ACM, 30.37, 30.59, 30.21, 30.32, ..., ...
AEG, 5.27, 5.33, 5.27, 5.30, 0.09, 1.73
AER, 42.92, 43.61, 42.91, 43.48, 0.58, 1.35
HIVE, 4.42, 4.48, 4.38, 4.40, 0.01, 0.23
AJRD, 34.27, 34.32, 33.50, 33.82, -0.45, -1.31
AES, 18.14, 18.39, 17.94, 18.31, 0.13, 0.72
AMG, 106.68, 109.38, 106.58, 109.35, 2.59, 2.43
AFL, 49.49, 50.15, 49.49, 49.95, 0.25, 0.50
AGCO, 66.11, 66.94, 66.11, 66.58, 0.60, 0.91
A, 80.86, 81.43, 80.83, 81.10, 0.49, 0.61
MITT, 17.71, 17.71, 17.54, 17.58, -0.11, -0.62
AEM, 43.90, 44.25, 43.48, 43.71, 0.09, 0.21
ADC, 66.54, 66.55, 65.77, 65.86, -0.56, -0.84
AHC, 3.64, 3.75, 3.64, 3.75, 0.15, 4.17
AYR, 20.39, 20.45, 20.06, 20.13, -0.24, -1.18
AL, 34.68, 34.68, 33.83, 33.84, -0.90, -2.59
APD, 185.19, 186.79, 184.23, 184.85, -0.36, -0.19
AKS, 2.78, 2.80, 2.69, 2.73, -0.02, -0.73
ALG, 98.33, 99.82, 98.33, 98.34, 0.12, 0.12
AGI, 5.09, 5.14, 4.93, 5.01, -0.03, -0.60
ALK, 55.58, 56.06, 55.45, 55.76, 0.27, 0.49
AIN, 72.62, 73.80, 72.37, 72.62, 0.27, 0.37
ALB, 85.07, 86.00, 85.07, 85.42, 0.69, 0.81
AA, 27.87, 28.53, 27.74, 27.84, -0.05, -0.18
ALEX, 23.37, 23.44, 23.03, 23.13, -0.18, -0.77
ALX, 367.33, 367.33, 361.18, 361.18, -5.51, -1.50
ARE, 141.86, 142.14, 140.13, 140.52, -1.34, -0.94
AQN, 11.21, 11.30, 11.19, 11.23, 0.01, 0.09
BABA, 180.66, 181.45, 179.66, 180.97, 0.61, 0.34
Y, 611.51, 630.70, 611.51, 620.12, 4.45, 0.72
